1800,104
1801,102
1802,120
1803,186
1804,132
1805,78
1806,104
1807,78
1808,77
1809,58
1810,73
1811,69
1812,48
1813,75
1814,62
1815,78
1816,67
1817,71
1818,69
1819,51
1820,79
1821,66
1822,58
1823,84
1824,124
1825,167
1826,217
1827,133
1828,93
1829,68
1830,95
1831,475
1832,295
1833,151
1834,82
1835,102
1836,68
1837,348
1838,354
1839,207
1840,134
1841,114
1842,134
1843,177
1844,177
1845,184
1846,136
1847,117
1848,103
1849,137
1850,176
1851,107
1852,94
1853,80
1854,87
1855,78
1856,79
1857,71
1858,62
1859,58
1900,81
1901,83
1902,47
1903,57
1904,50
1905,47
1906,50
1907,69
1908,87
1909,102
1910,70
1911,65
1912,89
1913,127
1914,74
1915,73
1916,74
1917,384
1918,255
1919,152
1920,111
1921,123
1922,107
1923,95
1924,115
1925,80
1926,66
1927,62
1928,90
1929,92
1930,90
1931,57
1932,67
1933,91
1934,53
1935,77
1936,86
1937,65
1938,56
1939,47
1940,73
1941,67
1942,84
1943,79
1944,66
1945,58
1946,80
1947,58
1948,61
1949,68
1950,42
1951,47
1952,62
1953,62
1954,55
1955,101
1956,206
1957,127
1958,94
1959,68
